State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$"," People with private health insurance
no. ","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
NSW,2146,"9,519","9,472","492,565,212","7,941","94,648,135","6,931","8,819,186",94,"124,119","7,418","100,756,171",324,"1,234,062","8,034","447,917,570","1,874","6,314,983",152,"2,413,956",149,"1,927,503",551,"3,064,979",490,"5,123,443",76,"980,561",87,"2,082,927","5,449","6,712,938",566,"288,664","2,048","5,448,505","2,044","2,333,849","9,481","513,903,123","2,445","6,464,943","1,044","1,191,349","4,762","1,470,788",590,"1,114,299","5,816","6,055,499",190,"112,225",209,"212,808",88,"119,538","3,641","1,607,479","4,981","1,004,306","7,749","20,991,847",674,"11,765,834",857,"6,903,703",10,"-16,784",614,"7,663,292",289,"431,027",97,"1,924,811",4,"7,445",67,"779,366",349,"5,430,858",253,"1,537,153",427,"11,424,890",414,"9,921,305",331,"527,950",294,"225,222",277,"56,304","1,394","25,125,085","1,238","15,021,252",650,"1,917,710","1,405","11,547,202",460,"3,777,263",954,"-7,138,342","1,415","-3,361,079",370,"467,214",51,"136,911",58,"822,556",352,"803,197",14,"392,200",721,"50,642,933",735,"51,035,133",702,"36,460,319",19,"157,088",733,"13,933,789",751,"14,090,877",444,"2,518,260",109,"265,462",91,"77,850","5,021","1,547,430","5,051","7,849","105,318,288"
NSW,2147,"19,467","19,388","1,006,818,796","16,152","192,945,613","14,266","18,103,968",160,"184,889","15,135","204,183,145",641,"2,381,072","16,568","912,071,331","4,008","12,694,651",404,"7,077,075",380,"6,240,543","1,256","7,114,769",972,"10,207,067",167,"1,930,757",190,"4,370,585","10,823","12,715,921","1,237","424,553","4,434","8,882,502","4,428","3,801,219","19,403","1,051,551,308","5,111","14,520,997","2,114","2,759,231","10,163","3,135,048","1,102","2,058,079","11,780","12,336,543",415,"197,531",415,"547,737",217,"492,747","7,753","2,898,314","10,162","2,296,352","15,832","44,044,656","1,220","21,392,710","1,942","14,845,569",21,"-93,665","1,382","14,619,940",619,"812,321",197,"4,213,311",9,"26,832",156,"1,175,126",688,"12,080,408",558,"3,302,696",849,"25,798,567",871,"15,178,919",731,"1,738,120",607,"589,896",553,"181,442","2,752","46,218,647","2,397","27,355,238","1,314","3,565,627","2,781","21,978,437",982,"6,641,686","1,813","-13,322,341","2,798","-6,680,655",698,"598,790",106,"296,579",117,"1,423,853",728,"1,346,173",29,"1,138,010","1,522","95,504,152","1,550","96,642,162","1,509","65,914,117",42,"86,601","1,545","30,058,307","1,586","30,144,908",944,"4,753,460",228,"511,419",249,"213,939","10,331","3,167,354","10,567","16,192","215,009,656"
NSW,2148,"32,929","32,777","1,558,977,027","27,384","277,367,906","23,356","27,078,119",238,"269,454","25,491","294,246,728",976,"3,452,625","28,251","1,425,209,977","7,065","19,146,484",565,"8,074,872",533,"5,398,102","2,647","15,330,454","1,425","15,321,794",190,"2,112,925",192,"4,267,013","16,831","17,068,400","1,198","416,788","5,109","8,983,807","5,102","3,850,672","32,805","1,628,575,685","8,312","22,595,654","3,114","4,474,749","18,910","6,212,764","1,820","3,751,348","19,803","19,757,496",387,"144,131",584,"463,763",174,"304,437","11,452","4,250,486","17,985","3,411,693","26,396","68,433,636","1,766","31,852,773","2,352","14,333,811",23,"158,991","1,536","21,663,981",626,"1,123,632",315,"5,687,097",13,"20,672",235,"2,196,913",728,"12,902,874",589,"3,431,223",866,"26,044,169",945,"17,449,890",723,"2,847,939",605,"691,866",547,"219,511","3,729","65,493,206","3,281","36,962,271","1,657","4,329,437","3,765","30,765,155","1,356","10,802,397","2,426","-17,367,077","3,785","-6,564,680","1,101","1,254,480",109,"215,300",110,"1,388,255",938,"1,598,118",61,"1,363,725","2,871","171,468,879","2,928","172,832,244","2,803","115,373,214",72,"194,392","2,906","55,616,731","2,975","55,811,123","1,693","8,569,778",245,"517,957",247,"210,508","19,291","5,967,109","12,963","27,620","315,620,077"
NSW,2150,"17,767","17,636","897,700,044","14,346","175,004,020","10,607","13,459,554",215,"294,991","13,504","184,943,613",521,"2,141,724","15,548","815,044,425","2,616","10,238,756",199,"2,176,366",240,"2,122,265","1,028","6,370,803",292,"3,326,179",62,"689,370",50,"997,838","10,400","10,300,713",514,"267,929","1,699","15,822,583","1,689","6,778,175","17,644","930,777,387","3,746","9,671,686","1,924","2,023,836","7,767","2,384,281","1,275","2,747,452","10,516","10,016,160",303,"175,838",297,"294,507",118,"333,529","4,197","1,793,799","8,209","1,427,590","13,442","32,552,680",906,"15,069,850",939,"6,035,066",17,"386,670",663,"10,311,885",231,"321,871",269,"6,240,074",8,"77,626",117,"1,101,985",336,"9,558,610",283,"3,476,294",443,"31,607,824",484,"12,325,476",325,"1,361,156",280,"335,758",252,"115,038","1,926","43,374,635","1,677","24,036,590",884,"3,564,827","1,944","20,027,599",639,"7,157,665","1,314","-11,412,046","1,955","-4,254,381",568,"637,601",66,"176,535",54,"914,462",350,"751,539",40,"833,076","1,318","112,254,154","1,355","113,087,230","1,232","84,424,689",48,"401,013","1,339","27,746,594","1,381","28,147,607",793,"5,206,909",66,"126,607",76,"80,280","9,446","2,944,315","6,201","15,078","189,250,034"
NSW,2151,"11,556","11,482","647,640,872","9,479","135,454,930","8,277","11,682,397",116,"141,796","8,841","143,548,384",519,"2,045,816","9,363","550,964,335","2,027","9,594,533",207,"3,532,169",215,"3,317,967",750,"4,451,410",475,"4,871,742",97,"1,300,838",131,"3,276,668","7,120","12,173,715",928,"741,627","2,884","15,450,555","2,872","6,613,226","11,485","675,601,235","2,788","7,807,257","1,335","1,699,083","4,453","1,323,143",661,"1,298,100","6,397","7,019,923",266,"129,036",350,"561,947",245,"879,257","4,152","2,225,898","5,391","1,635,296","9,012","27,409,167",836,"15,180,533","1,139","11,155,670",15,"148,932","1,138","17,501,014",469,"1,261,195",91,"2,239,718",7,"77,921",114,"1,950,803",622,"13,176,738",496,"4,289,641",800,"29,943,113",726,"18,350,444",593,"1,684,965",531,"749,566",476,"239,674","2,000","44,810,718","1,677","24,039,806",951,"3,310,146","2,005","20,513,897",837,"7,631,972","1,187","-10,685,103","2,024","-3,053,131",537,"661,906",83,"634,891",83,"1,688,241",485,"1,096,649",23,"558,910","1,005","68,840,206","1,028","69,399,116",972,"48,561,875",30,"211,657","1,020","19,434,071","1,049","19,645,728",634,"3,793,249",161,"406,658",157,"187,813","5,635","1,737,640","7,142","9,018","136,687,351"
NSW,2152,"6,431","6,397","373,193,064","5,359","79,482,924","4,677","6,760,845",58,"54,900","4,932","84,423,346",310,"1,263,248","5,154","320,133,252","1,233","5,353,856",96,"1,406,745",121,"1,452,119",357,"2,152,259",385,"4,314,746",59,"751,810",101,"1,993,368","3,985","6,446,676",568,"366,464","1,670","9,907,699","1,668","4,243,562","6,405","392,305,167","1,784","5,199,609",875,"1,104,779","2,663","802,861",430,"983,708","3,756","4,534,205",153,"84,296",166,"2,201,897",104,"335,085","2,504","1,201,342","3,205","1,161,425","5,190","18,893,214",523,"8,998,109",695,"5,843,475",13,"-202,025",631,"13,143,643",315,"1,869,058",59,"1,548,795",5,"196,597",62,"7,236,768",324,"5,335,380",222,"1,521,817",424,"12,867,037",412,"8,165,527",340,"1,029,503",307,"409,844",294,"104,075",936,"19,302,275",807,"11,027,891",470,"1,583,065",950,"9,216,605",360,"2,984,633",593,"-5,509,919",953,"-2,525,286",282,"418,578",41,"113,247",37,"662,001",264,"575,827",17,"15,482,315",524,"35,047,647",540,"50,529,962",532,"44,170,673",22,"-69,413",536,"5,885,675",557,"5,816,262",349,"2,480,786",95,"224,641",102,"85,883","3,021","913,904","4,238","5,003","81,070,469"
NSW,2153,"34,435","34,172","2,129,676,311","28,056","482,047,153","24,880","39,188,491",317,"449,789","26,104","510,881,506","1,248","5,026,873","27,379","1,791,686,379","6,113","35,927,542",587,"13,324,274",563,"12,711,152","1,342","7,467,574","1,757","17,330,343",365,"6,426,601",339,"8,059,638","21,787","38,543,931","3,378","1,837,368","10,833","52,541,092","10,811","22,507,115","34,283","2,225,962,710","8,637","28,029,383","4,150","5,116,108","12,504","3,516,650","1,857","4,255,640","19,047","22,004,996","1,046","602,582","1,021","2,210,414",785,"2,497,583","12,791","7,654,286","16,194","5,262,055","27,212","93,215,896","2,469","42,844,470","4,340","44,084,416",69,"124,499","4,288","71,728,394","1,897","4,922,855",264,"7,361,258",20,"375,745",311,"2,464,626","2,086","51,339,567","1,637","16,997,210","2,728","116,258,040","2,904","70,461,592","2,242","7,524,094","1,955","3,007,520","1,795","824,828","7,613","164,998,892","6,494","91,924,821","4,172","14,766,587","7,661","76,081,368","2,892","25,241,955","4,807","-43,015,839","7,709","-17,773,884","1,698","2,690,772",317,"1,113,549",347,"6,995,125","1,886","4,919,374",81,"1,664,183","2,635","224,786,694","2,712","226,450,877","2,628","151,887,785",107,"-18,913","2,701","73,151,902","2,796","73,132,989","1,663","16,629,054",480,"1,419,048",607,"608,241","14,834","4,583,357","25,883","26,430","468,226,600"
NSW,2154,"24,487","24,316","1,674,180,297","19,803","410,194,007","17,407","30,869,237",204,"245,645","18,250","434,193,399",882,"3,630,884","18,821","1,314,617,566","4,343","27,582,579",363,"8,458,355",387,"10,153,343",846,"4,478,785","1,247","12,442,723",317,"4,478,077",323,"7,761,716","16,342","39,826,524","2,815","2,367,127","8,378","59,559,328","8,354","25,487,928","24,356","1,758,380,927","5,957","21,027,949","2,928","3,650,346","7,632","2,124,799","1,188","2,487,451","12,741","15,107,422",752,"381,822",878,"1,926,231",696,"2,769,530","9,165","15,808,909","10,909","4,106,859","19,134","82,096,017","1,729","30,114,237","3,283","38,606,973",44,"373,363","3,817","82,484,597","1,708","8,696,300",192,"4,239,927",21,"479,718",216,"2,076,009","1,859","73,538,779","1,429","28,738,483","2,524","158,911,874","2,575","78,119,060","2,080","10,130,448","1,795","3,942,480","1,588","1,034,729","5,485","126,541,407","4,605","70,140,758","3,047","11,439,548","5,525","58,714,252","2,145","21,173,632","3,407","-34,922,783","5,554","-13,749,151","1,410","1,777,793",277,"1,516,301",342,"8,326,904","1,365","4,212,153",71,"2,405,772","1,808","201,423,355","1,874","203,829,127","1,789","146,583,740",92,"-313,828","1,859","56,069,789","1,944","55,755,961","1,158","14,055,808",419,"1,111,491",529,"541,856","10,216","3,195,531","19,453","18,080","361,255,433"
NSW,2155,"30,106","29,940","1,979,228,500","25,462","452,742,212","23,117","36,840,306",292,"350,018","24,099","481,145,605","1,089","4,196,345","25,669","1,751,948,902","6,162","34,899,151",487,"9,011,954",546,"9,827,298","1,107","5,767,030",795,"7,684,877",225,"3,534,003",180,"4,373,852","17,757","24,729,718","1,862","742,414","7,240","36,046,266","7,225","15,432,045","29,989","2,072,901,100","9,122","32,937,913","4,088","5,348,070","13,126","3,781,475","1,762","3,907,256","18,440","21,605,050","1,025","503,853",748,"2,057,452",414,"1,209,736","11,181","5,932,955","15,067","4,428,231","24,672","91,073,748","2,347","38,799,868","3,392","26,953,624",106,"-69,386","2,836","66,882,028","1,071","4,876,637",217,"5,525,876",17,"382,678",331,"3,244,847","1,338","33,463,246","1,137","10,607,290","1,712","77,803,262","2,040","44,802,281","1,147","7,837,167",980,"3,500,889",897,"1,364,528","5,877","115,620,928","5,395","74,406,249","3,638","12,965,139","5,950","55,538,635","1,611","13,034,101","4,388","-40,323,195","6,005","-27,289,094","1,616","1,399,609",185,"729,543",265,"4,917,998","1,794","4,338,248",69,"1,549,418","2,290","198,271,093","2,354","199,820,511","2,320","138,668,211",102,"58,223","2,359","58,706,932","2,453","58,765,155","1,432","12,930,991",269,"721,928",465,"408,498","13,354","4,092,052","22,317","24,895","459,151,500"
NSW,2156,"8,721","8,671","667,622,579","7,055","180,760,606","6,255","12,723,687",64,"161,676","6,492","189,833,629",256,"967,812","6,255","426,139,158","1,472","11,714,995",102,"2,653,065",99,"3,898,874",226,"1,248,161",429,"4,276,043",96,"2,459,485",106,"2,826,648","6,013","21,909,084","1,122","1,308,508","3,407","53,701,938","3,405","23,013,517","8,691","709,277,488","1,760","7,387,450",843,"1,325,077","2,552","659,576",324,"723,158","3,914","4,460,486",229,"103,145",383,"1,437,900",276,"1,175,123","2,855","2,712,957","3,611","2,293,190","6,664","40,147,967",528,"9,676,202","1,169","16,348,132",76,"208,173","2,002","79,905,587",847,"10,281,449",56,"1,585,083",27,"1,461,883",88,"825,982",758,"25,466,021",599,"8,816,962",996,"60,162,419",974,"49,965,482",813,"9,885,860",701,"2,602,448",632,"2,484,457","1,892","50,978,604","1,500","25,075,877",925,"3,760,717","1,883","23,100,965",877,"10,533,501","1,031","-11,492,456","1,910","-958,955",657,"1,674,162",94,"372,659",218,"5,230,294",496,"1,973,751",34,"910,891",681,"87,909,399",707,"88,820,290",685,"60,768,231",49,"-1,125,465",704,"27,735,358",742,"26,609,893",479,"7,734,254",138,"540,395",189,"228,075","3,572","1,133,340","7,235","5,904","118,776,088"
NSW,2157,"2,293","2,275","138,750,804","1,834","31,886,616","1,609","2,551,201",9,"9,731","1,675","33,891,166",48,"180,613","1,646","93,485,873",372,"2,274,840",29,"625,844",21,"1,259,428",84,"479,575",94,"925,978",36,"630,219",11,"314,158","1,479","3,506,379",207,"344,941",755,"7,206,598",751,"3,088,677","2,286","145,080,079",462,"1,726,693",205,"238,547",793,"221,591",92,"176,730","1,021","1,106,687",55,"28,695",64,"184,255",45,"105,618",672,"423,771",971,"465,623","1,711","6,030,576",101,"1,707,604",203,"2,294,604",73,"713,669",391,"14,768,256",137,"1,747,723",20,"663,940",4,"47,379",38,"569,075",138,"5,895,422",111,"2,076,574",167,"15,159,095",203,"7,457,999",146,"485,421",127,"120,701",112,"45,739",456,"10,847,742",335,"4,795,249",188,"663,494",444,"4,618,869",257,"2,608,368",200,"-1,838,238",458,"770,130",189,"698,568",26,"48,546",54,"992,072",129,"353,220",19,"571,535",261,"29,185,473",278,"29,757,008",273,"23,463,760",19,"-82,999",267,"6,059,260",283,"5,976,261",162,"1,190,780",38,"92,519",35,"28,455","1,065","346,659","1,690","1,540","23,446,573"
NSW,2158,"5,636","5,594","507,075,408","4,577","149,153,203","4,012","9,588,101",52,"92,811","4,188","157,329,774",167,"622,571","4,093","277,855,733",935,"6,754,862",65,"1,091,133",73,"2,773,200",223,"1,207,503",270,"2,797,281",73,"1,739,515",51,"1,428,212","3,890","13,294,689",575,"745,730","1,940","76,514,752","1,939","32,789,514","5,605","526,524,284","1,163","4,125,602",530,"843,415","1,569","447,146",202,"438,514","2,512","2,743,128",161,"78,287",212,"999,918",163,"1,002,853","1,783","1,624,443","2,393","1,745,281","4,270","18,803,342",295,"6,150,372",708,"9,008,425",71,"112,094","1,120","45,550,158",470,"5,043,045",36,"1,167,453",15,"470,686",62,"1,338,964",444,"27,104,743",359,"10,623,624",577,"56,640,001",651,"32,267,577",460,"8,663,611",383,"2,336,086",366,"2,590,562","1,254","38,500,517",941,"16,429,910",597,"2,928,205","1,242","16,858,762",623,"9,991,301",636,"-7,707,661","1,261","2,283,640",400,"1,249,501",59,"1,377,424",140,"3,606,789",300,"1,115,098",33,"1,170,233",504,"85,305,157",533,"86,475,390",537,"72,587,065",37,"-1,090,575",520,"14,013,005",553,"12,922,430",315,"3,805,530",94,"309,253",121,"150,092","2,371","751,889","4,547","3,865","77,115,458"
